"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"3P44JGHD","journalArticle","2011","Kaczor, Christopher","""Vital Conflicts"" and the Catholic Magisterial Tradition A Case for Equal Basic Rights for All Human Beings, Born and Unborn: A Response to Critics of The Ethics of Abortion","","","","","","This essay is a response to various criticisms raised by Don Marquis and William May about my book The Ethics of Abortion. The main criticisms raised by Marquis is that the argument of this book rest on the speciecism latent in the assumption that all human beings should be accorded basic rights and that all human beings are equally entitled to the same basic rights. Among the points raised by May are questions about the nature of the positive arguments in support of the book’s main claims.","2011","2022-05-03 13:59:20","2022-05-26 13:50:58","","8","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/3N9V6U4L/Kaczor - A Case for Equal Basic Rights for All Human Beings.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"35JX3PMW","journalArticle","2011","Henkel, Kimberly Zenarolla","The Role of Metaphysics and Theology in the Contemporary Pro-Life Debate","","","","","","Recent debates over Altered Nuclear Transfer (ANT) and Embryo Transfer (also referred to as “Embryo Adoption”) are challenging moral theologians, philosophers, and scientists to define the boundaries of ethical pursuits. Critical to such discussions is the question of how we are to determine the nature of the embryo. Can science alone provide a definitive account of the embryo? In their recent book Embryo: A Defense of Human Life, Robert P. George and Christopher Tollefsen construct an argument defending the embryo from destructive experimentation based on this definition. The acceptance of certain modern presuppositions perhaps unwittingly lead the authors to accept a liberal conception of the human as an autonomous entity. This is revealed in the embryo’s need to behave and assert himself as an individual in order to be considered a human life. With no understanding of the ontological nature of the embryo as always in relation to a mother, a father, a family, and, ultimately, God, and no sense of the proper place for the embryo, there can be no adequate foundation for a proper ethical response.","2011","2022-05-03 13:59:19","2022-05-26 13:43:15","","16","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/DTK5DETS/Christians are 'guardians of a metaphysics of the .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PI57XP99","journalArticle","2011","Hanink, James G","“Some one, from the start” Arguments for Personal Humanity","","","","","","Robert Spaemann, in his path-finding work Persons, presents six arguments for the thesis that all human beings are persons from conception until death, regardless of any disability from which they might suffer. Here I sketch each of these arguments and highlight a corollary of each that is important in the public abortion debate. Then I identify a distortion of the civility that this debate requires. Finally I juxtapose Spaemann’s analysis with Nicholas Wolterstorff’s view that secular thought cannot ground universal human rights.","2011","2022-05-03 13:59:18","2022-05-26 13:43:27","","10","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/MFFQUIYS/Hanink - “Some one, from the start” Arguments for Personal .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"3HSZGAFD","journalArticle","2011","Flannery, Kevin L.","Vital Conflicts and the Catholic Magisterial Tradition:","The National Catholic Bioethics Quarterly","","1532-5490","10.5840/ncbq20111148","http://www.pdcnet.org/oom/service?url_ver=Z39.88-2004&rft_val_fmt=&rft.imuse_id=ncbq_2011_0011_0004_0691_0704&svc_id=info:www.pdcnet.org/collection","This article considers Therese Lysaught’s analysis of an apparent abortion that occurred in Phoenix in 2009. Since Lysaught invokes it, the article considers Fr. Martin Rhonheimer’s theory about the bearing of vital conflict situations – in which, for instance, the life of a mother might be spared if her fetus is aborted, otherwise she and the fetus will die – upon the object of the act performed. It argues that the use of vital conflict situations in the way Lysaught and Rhonheimer (and possibly others) do is incompatible with Church teaching. The article concludes by suggesting a way of analyzing certain cases in such a way that the mother’s life is saved and the fetus dies but there is no direct abortion.","2011","2022-05-03 13:59:17","2022-05-26 13:50:16","2022-05-03 13:59:17","691-704","","4","11","","","Vital Conflicts and the Catholic Magisterial Tradition","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/lalor/Zotero/storage/7CEVHMFF/Flannery and The National Catholic Bioethics Center - 2011 - Vital Conflicts and the Catholic Magisterial Tradi.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2RIKZ7XM","journalArticle","2011","Fehring, Richard J","The Influence of Contraception on Abortion among Women of Reproductive Age in the United States","","","","","","There is a common notion that contraception is necessary for women (and couples) to avoid unwanted pregnancies and abortions. The thesis of this paper is that contraception actually will lead to more (not less) abortions. On the other hand, the use of natural family planning (NFP) and the acceptance of fertility lend itself to the openness to life. The specific purpose of the paper is to describe the influence of contraceptive use and NFP on the likelihood of having an abortion among United States (US) women of reproductive age as found in Cycle 7 of the National Survey of Family Growth (NSFG). There were 7,625 women of reproductive age in cycle 7 of the NSFG, and of these 6,265 were sexually active. Likelihood Odds Ratios (OR) were used to determine the likelihood that ever use of common contraceptive methods and NFP correlates with ever having an abortion and having an abortion in the past 12 months. According to data from Cycle 7 of the NSFG, the ever use of methods of contraception (outside of surgical female sterilization) coincides with a likelihood of every having an abortion up to 209% with ever use of the male condom and 85% with use of the birth control pill. In a like manner ever use of contraceptive methods also imparts a likelihood of having an abortion in the 12 months with an extremely high likelihood of abortion with female sterilization and the use of the male condom. As a contrast, the ever use of NFP among US women does not have any significant likelihood of ever having an abortion nor of having an abortion in the past year. The conclusion is that the NSFG data provides evidence that contraception contributes to the likelihood of having an abortion and NFP prevents that likelihood. Promotion of the use of NFP among married couples and chastity among adolescents are ways of contributing to the culture of life.","2011","2022-05-03 13:59:15","2022-05-26 13:49:54","","17","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/AD4BM536/Fehring - The Influence of Contraception on Abortion among W.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A4DZ8MN4","journalArticle","2011","Essig, Andrew","The World Health Organization","","","","","","The World Health Organization has moved far from its original mandate. This paper examines how it has emphasized family planning, including abortion, by eschewing other aims. Such a shift has been to the detriment of that institution’s effectiveness and reputation. This paper provides a critique of the way in which the world’s premier health organization has become the world’s top abortion advocate. In so doing, it adds a voice to an ongoing debate about what recipient nations can do to protect their pro-life laws and policies from interventions by the World Health Organization.","2011","2022-05-03 13:59:14","2022-05-26 13:47:41","","26","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/HD5TJ9QD/Essig - The World Health Organization.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BVIIYII8","journalArticle","2011","Carr, Christopher M","Daniel Maguire’s Sacred Choices: Method and Content","","","","","","Daniel C. Maguire believes that a burgeoning world population is leading to environmental depletion and thus to human suffering and death on a massive scale. He is convinced that the only way to prevent these calamities is to permit abortion. In his examination of world religions, he finds doctrines that support abortion as a morally acceptable means of family planning. His argument in Sacred Choices, however, is fundamentally flawed. An analysis of his methods reveals inconsistencies in his reasoning. The doctrinal content supporting abortion rights that he claims to have found in each of the religions that he examines does not in fact exist.","2011","2022-05-03 13:59:11","2022-05-26 13:43:37","","22","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/3DSK6DIB/Carr - Daniel Maguire’s Sacred Choices Method and Conten.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AP9IZF7E","journalArticle","2011","Berg, Thomas","A Revised Analysis of the “Phoenix Abortion Case” and a Critique of New Natural Law Intentionality","Nova et vetera","","2470-5861","10.1353/nov.2017.0020","https://muse.jhu.edu/article/662932","This essay offers an overview of the New Natural Law account of intentionality and the prominent role played therein by the concept of the “proposal.” Then follows a brief summary of my original 2011 argument supporting lethal fetal removal by dilation and curettage (D&C) in the case of a life-threatening pregnancy. I then critique the New Natural Law’s view on intentionality by exposing the pitfalls entailed in its employment of the concept of the “proposal.” I next explore how Aquinas’s account of the moral object obviates those pitfalls and, finally, conclude by offering a revised moral judgment on cases of life-threatening pregnancy as typified by the “Phoenix abortion case.","2011","2022-05-03 13:59:09","2022-05-26 13:50:32","2022-05-03 13:59:09","365-396","","2","15","","Nova et vetera","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/home/lalor/Zotero/storage/CAZZIUPG/Berg - 2017 - A Revised Analysis of the “Phoenix Abortion Case” .pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"G4X2A5Z2","journalArticle","2010","Zapatka, Francis","The “Lion of Munster” Rampant, or the Triumph of Classical Rhetoric: Bishop Clemens von Galen’s Sermon against Hitler’s “Euthanasia” Program","","","","","","On 3 August 1941 Bishop Clemens August Count von Galen of Munster, known as the “Lion of Munster” for his courage, preached a masterful sermon condemning the Nazi “euthanasia” program. The sermon was pertinent to its own time and remains so to ours. Its effectiveness was largely due to the use of classical rhetoric as formulated and practiced by Aristotle, Cicero, Quintilian and others in ancient Greece and Rome. Relying heavily on both civil and divine law, the bishop exposed the wickedness of the initiative. As a result of the sermon’s public delivery and far-reaching dissemination, this Lion was in danger of being caged, if not slaughtered. In effect, Hitler threatened that the bishop would suffer once the Axis had won the war.","2010","2022-05-03 13:59:07","2022-05-26 13:54:21","","15","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/UVXN9JPT/Zapatka - The “Lion of Munster” Rampant, or the Triumph of C.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SLZNBNBF","journalArticle","2010","Vitz, Evelyn Birge","My Seminar on Abortion at New York University","","","","","","This article discusses a seminar on abortion called “Abortion: Examining the Issues” that Professor Evelyn Birge Vitz has given three times at New York University and that she hopes to give again in the future. The article explains the logic and purposes behind the seminar, its structure and content, and reviews the seminar’s results.","2010","2022-05-03 13:59:06","2022-05-26 13:55:33","","11","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/ZTT3LKII/Vitz - My Seminar on Abortion at New York University.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JDXFBH52","journalArticle","2010","Sullins, D Paul","Aborting Sex: Gay Rights as an Anti-Life Movement","","","","","","Gay rights is not generally considered a life issue. But the social and cultural effects of same-sex sexual expression are remarkably similar to those of induced abortion. Like contraception, both contravene the natural operation of the body in order to conform human sexuality to the ideals of modernity – including unconditioned personal expression, availability to industrial capitalism, and reduced uncertainty in the life course. By severing the link between sex and children, both increase privatization, diminish the social intentionality and form of the sexual union, and undermine the unitive good and the transcendent goal of marriage. Movements for both gay rights and abortion rights employ similar rhetoric and share activist personnel, and gay rights activists strategically promote affinity with abortion rights. Unless proponents of human life engage such alignments on the cultural level, overcoming insularity and a narrow focus, direct issue engagement on abortion and on homosexuality risks becoming incoherent and counterproductive.","2010","2022-05-03 13:59:05","2022-05-26 13:54:09","","18","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/KB23WS3D/Sullins - Aborting Sex Gay Rights as an Anti-Life Movement.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JPMBU4T8","journalArticle","2010","Silecchia, Lucia A","Toward a Pro-Life Environmental Movement","","","","","","In modern times, the secular environmental movement seems to have taken on an anti-life message, in ways both subtle and direct. This anti-human – and often anti-life – view has crept into the heart of the “mainstream” ecological movement with consequences that can be detrimental to both human dignity and to the environment itself. This essay does not aim to analyze the complexities inherent in economic development, demographic predictions, or climatology. Instead, it is a call to reflect carefully and soberly on the troubling moral consequences of grounding respect for the environment in disrespect for the dignity of the human person. The first part of the essay outlines the ways in which the ecological movement has run into conflict with pro-life values. This includes a discussion of both the anti-life rhetoric of the ecological movement and illustrative environmental policies that may have a detrimental effect on human life. The second part of the discussion sets forth the essential components of a pro-life vision of environmental responsibility and explores how the pro-life movement can enhance and renew the ecological movement.","2010","2022-05-03 13:59:03","2022-05-26 13:53:58","","36","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/KU9F7FV7/Silecchia - Toward a Pro-Life Environmental Movement.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SNQ89LH8","journalArticle","2010","Saunders, William L","Healthcare Reform: A Pro-Life Perspective and a Pro-Life Response","","","","","","The Congress passed, and President Obama signed into law, a broad-ranging reform of America’s healthcare system, the Patients Protection and Affordable Care Act (PPACA) in March 2010. The bill nearly failed to pass the Congress, however, because of concerns about its possible anti-life effects. In the end, pro-life Democrats in the House of Representatives, whose votes were essential to passage of PPACA, accepted President Obama’s promise to ensure PPACA was not anti-life. This article will (1) critically examine the process by which PPACA was passed, and (2) evaluate whether the “compromise” that emerged to save the bill respected pro-life concerns. The material in this article was presented to UFL in June 2010. Subsequently, there have been a number of developments –particularly with the implementation of the reform and with the content and enforcement of the “preventive services” mandate – that are not chronicled in this article.","2010","2022-05-03 13:59:02","2022-05-26 13:51:17","","19","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/5PDMZ8PE/Saunders - Healthcare Reform A Pro-Life Perspective and a Pr.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KZ342KBE","journalArticle","2010","Rienzi, Mark L","The Fourteenth Amendment Right of Conscience: Roe, Casey, and the Constitutional Right to Refuse","","","","","","Supreme Court precedents in Roe and Casey establish a pregnant woman’s right to decide for herself whether to have an abortion. Do those same precedents also protect her doctor’s right to decide whether to perform abortions? The Fourteenth Amendment rights of various parties in the abortion context – the pregnant woman, the fetus, the fetus’s father, the state – have been discussed at length by commentators and the courts. Surprisingly, the Fourteenth Amendment rights of the physician asked to perform the abortion have rarely been explored. The Court’s substantive due process analysis typically looks for rights that are “deeply rooted” in our history and traditions. Accordingly, this article addresses the historical basis for finding that physicians do indeed have a Fourteenth Amendment right to refuse to perform abortions. Ultimately, this historical analysis shows that the right to refuse actually has better historical support, and better satisfies the Court’s stated tests, than the abortion right itself. A physician’s right to make this decision without government compulsion also fits squarely within the zone of individual decision-making protected by the Court’s opinions in Casey and Lawrence v. Texas, and protects physicians from the types of psychological harm that the Court recognized in Roe and Casey. For these reasons, under Roe and Casey, a physician has a Fourteenth Amendment right to refuse to perform abortions.","2010","2022-05-03 13:59:01","2022-05-26 13:51:41","","62","","","","","","","","","","","","","en","","","","","Zotero","","","","/home/lalor/Zotero/storage/SB99IBXW/Rienzi - The Fourteenth Amendment Right of Conscience Roe,.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
